Class,IOU,Recall,Precision,FS
0,0.0,0.0,0.0,0.0
1,0.38750421913493366,0.7354524726393642,0.8036517413263404,0.7481699277202234
2,0.5535016130198853,0.8851311914239217,0.9503088516033922,0.9130433477877531
3,0.49566481645194754,0.8263875192637173,0.9197721749925286,0.8584379869920074
4,0.44524075571865146,0.8079928678638921,0.9255250899923845,0.8506417791187011
5,0.3603670141623857,0.3048491012191007,0.39635116182736585,0.2914163652169688
6,0.3408273883296975,0.6667006674437621,0.8113588398094865,0.7178914988855585
7,0.4560010462850789,0.8743056895875015,0.9595265395297334,0.9094815025277112
8,0.28795252071308347,0.6429488365514763,0.850074706767748,0.7015170754629501
9,0.5095966882244857,0.7512805059475102,0.8630225480857219,0.7849429891440165
10,0.2746736701569011,0.7370831634682373,0.9461348654158304,0.8035271712968651
11,0.33921399032683036,0.818720247677914,0.9179838536378783,0.850024030418776
12,0.4318002948203148,0.8335980397221966,0.9393912729306979,0.865488679178516
13,0.38837933783628503,0.7382294903910458,0.85469133579483,0.7713215289671843
14,0.22551484583980508,0.7402480121150478,0.9533038923212528,0.8165968130795795
15,0.24818202474412798,0.7774056866163174,0.9366451869493534,0.829569976692221
16,0.44239069450269924,0.6960458522224466,0.8269950099421708,0.7223098578151398
17,0.30172753009117315,0.6760164379639167,0.9516187656099991,0.7737879271737845
18,0.3294651981592178,0.7015067087889217,0.8235522633370908,0.7328848640072082
19,0.504726016333381,0.8422083126248934,0.9283114336290326,0.8759965773234959
20,0.25622999710831673,0.7432185954642512,0.9349900751494818,0.8119223653320272
21,0.21620134354114187,0.5178367971501294,0.8887986311440009,0.618468561938051
22,0.3094652619272951,0.7385027266572808,0.9155618774866503,0.7998425157743563
23,0.5232228179026789,0.865806857509076,0.9359937139044064,0.890850540569754
24,0.372035075187389,0.8232473104009591,0.8912967666107537,0.8414699628790387
25,0.4767868500910228,0.7624048549614594,0.8449863146787299,0.7864273609915515
26,0.5000805447881038,0.8053218725526926,0.9488815509853313,0.8497024853638641
27,0.35854716319590807,0.19596499079197313,0.2593881259403335,0.18985832777773587
28,0.38648084627793117,0.6363734822528014,0.8544724424666084,0.6902188652493458
29,0.4257380420236084,0.8289578382280806,0.9173909003853761,0.8638566819594525
30,0.4603217991843688,0.8165983339281981,0.9046528314605726,0.8430189374370382
31,0.3413813033850368,0.8049169805578409,0.9503798734268529,0.8597785739271491
32,0.2661654637160158,0.7888032098583642,0.951516657781394,0.8508828612337993
33,0.38712119365346087,0.1304226348289504,0.3371681710173957,0.15222161581470867
34,0.3966393117503873,0.7609906926333039,0.897156711500714,0.8104987356572274
35,0.5193698594755516,0.6895800232867004,0.8132059020062377,0.7156734007715895
36,0.3337234228631442,0.7298581423668475,0.9110796582008203,0.7866536492433291
37,0.5658748346091859,0.7962482955310183,0.9170328977536096,0.833350764405296
38,0.579709606112114,0.8330339580540227,0.9046732286645284,0.855517756369369
39,0.3196740466260141,0.7312230100455419,0.9088015862320081,0.7942202155489086
40,0.5507325770692055,0.2745156813310605,0.3195212241269092,0.2702288142003716
