,Names,accuracy,precision,recall,FS
555,ea5672ffa8_00025.jpg,0.9977864583333333,0.0,0.0,0.0
556,ea5672ffa8_00055.jpg,0.9879720052083333,0.0,0.0,0.0
557,ecfff22fd6_00125.jpg,0.9946614583333333,0.9033297529538131,0.7794253938832252,0.83681592039801
558,ecfff22fd6_00100.jpg,0.996337890625,0.9771428571428571,0.7066115702479339,0.8201438848920862
559,ecfff22fd6_00120.jpg,0.9932779947916667,0.9261576971214017,0.676416819012797,0.7818277865821448
560,ecfff22fd6_00105.jpg,0.9965657552083333,0.9659442724458205,0.7675276752767528,0.8553803975325566
561,ecfff22fd6_00050.jpg,0.9939453125,0.95625,0.4608433734939759,0.6219512195121952
562,ecfff22fd6_00115.jpg,0.994482421875,0.902696365767878,0.7504873294346979,0.8195848855774348
563,ecfff22fd6_00170.jpg,0.9893717447916667,0.3489208633093525,0.4,0.37271853986551395
564,ee07583fc0_00125.jpg,0.974365234375,0.9308072487644151,0.7553475935828877,0.8339483394833949
565,ee07583fc0_00090.jpg,0.9743001302083333,0.945055520636916,0.9714639530501266,0.9580777910527014
566,ee07583fc0_00055.jpg,0.9000813802083333,0.9859480714740069,0.7430488974113135,0.8474365665150725
567,ee07583fc0_00110.jpg,0.975,0.9392169586848367,0.8991509629322841,0.9187473550571308
568,ee07583fc0_00085.jpg,0.9498860677083333,0.9855383337946305,0.9145664108902944,0.9487269154551964
569,ee07583fc0_00095.jpg,0.9778645833333334,0.9572885939036382,0.9590567664080778,0.9581718644276312
570,ee9706ac7f_00050.jpg,0.9728515625,0.46431924882629105,0.6523746701846965,0.5425123422929238
571,ee9706ac7f_00025.jpg,0.957421875,0.8974358974358975,0.026138909634055265,0.05079825834542816
572,ee9706ac7f_00055.jpg,0.9772135416666666,0.5,0.2507142857142857,0.33396764985727884
573,ee9706ac7f_00085.jpg,0.9844563802083334,0.7994157740993184,0.5229299363057325,0.6322680015402388
574,f4dd51ac35_00050.jpg,0.9894856770833333,0.8717948717948718,0.05037037037037037,0.09523809523809525
575,f4dd51ac35_00025.jpg,0.9871744791666667,0.0,0.0,0.0
576,f4dd51ac35_00055.jpg,0.988671875,0.8297872340425532,0.05364511691884457,0.10077519379844961
577,f4dd51ac35_00085.jpg,0.9912272135416667,0.9315068493150684,0.3981264637002342,0.5578342904019689
578,f659251be2_00125.jpg,0.98896484375,0.9495313626532084,0.6841558441558442,0.7952898550724637
579,f659251be2_00090.jpg,0.9840169270833333,0.9606791778373548,0.5340288127173373,0.6864623243933589
580,f659251be2_00055.jpg,0.9842936197916666,0.8737919272313814,0.6741228070175439,0.7610794751176035
581,f659251be2_00110.jpg,0.9887858072916667,0.9544513457556936,0.689431704885344,0.8005788712011577
582,f659251be2_00085.jpg,0.990087890625,0.9501597444089457,0.7368681863230921,0.8300307005302818
583,f659251be2_00095.jpg,0.9826497395833333,0.9406474820143885,0.5112414467253177,0.6624445851804939
584,f6adb12c42_00070.jpg,0.9636393229166667,0.5728155339805825,0.2241452089489236,0.32220873786407767
585,f6adb12c42_00045.jpg,0.9578450520833334,0.0967741935483871,0.0011695906432748538,0.0023112480739599386
586,f6adb12c42_00055.jpg,0.9635579427083333,0.9747634069400631,0.12165354330708661,0.21631081554077705
587,f7782c430e_00125.jpg,0.9652506510416666,0.9823788546255506,0.822656109411553,0.8954507614710348
588,f7782c430e_00090.jpg,0.96728515625,0.9930947286520132,0.8404115226337449,0.9103958630527818
589,f7782c430e_00055.jpg,0.965478515625,0.9900139589820681,0.819701280227596,0.8968435387383882
590,f7782c430e_00110.jpg,0.9606119791666666,0.9785614105389702,0.8157674962418574,0.8897795591182366
591,f7782c430e_00085.jpg,0.9653645833333333,0.9912576991853765,0.8302546180728907,0.9036406448107227
592,f7782c430e_00095.jpg,0.9545084635416666,0.9945905812473483,0.7736160382806699,0.870295605364518
593,f9ae3d98b7_00120.jpg,0.9288411458333333,0.8744906275468622,0.20279720279720279,0.3292420988033139
594,f9ae3d98b7_00090.jpg,0.9277506510416667,0.975,0.07341560343024472,0.1365493094728652
595,f9ae3d98b7_00055.jpg,0.94677734375,0.9356223175965666,0.2543757292882147,0.4
596,f9ae3d98b7_00110.jpg,0.948974609375,0.9609756097560975,0.2768798313422347,0.42989634478996186
597,f9ae3d98b7_00085.jpg,0.950927734375,0.8603042876901799,0.4879388115316729,0.6227005381053685
598,f9ae3d98b7_00095.jpg,0.9354166666666667,0.9034334763948498,0.09691528545119706,0.17505197505197506
599,f9b6217959_00050.jpg,0.985791015625,0.0,0.0,0.0
600,f9b6217959_00025.jpg,0.9861979166666667,1.0,0.009345794392523364,0.018518518518518517
601,f9b6217959_00055.jpg,0.9818522135416666,0.0,0.0,0.0
602,f9b6217959_00085.jpg,0.968212890625,0.0,0.0,0.0
603,f9f3852526_00125.jpg,0.997705078125,0.0,0.0,0.0
604,f9f3852526_00100.jpg,0.9931315104166667,0.0,0.0,0.0
605,f9f3852526_00120.jpg,0.9981282552083334,0.0,0.0,0.0
606,f9f3852526_00105.jpg,0.9857096354166667,0.0,0.0,0.0
607,f9f3852526_00050.jpg,0.9988932291666667,0.0,0.0,0.0
608,f9f3852526_00115.jpg,0.9985026041666667,0.0,0.0,0.0
609,f9f3852526_00170.jpg,0.9979817708333333,0.0,0.0,0.0
610,fad633fbe1_00125.jpg,0.9834309895833333,0.9900398406374502,0.4965034965034965,0.6613439787092482
611,fad633fbe1_00090.jpg,0.99384765625,0.0,0.0,0.0
612,fad633fbe1_00055.jpg,1.0,0.0,0.0,0.0
613,fad633fbe1_00110.jpg,0.9858561197916667,1.0,0.1595744680851064,0.27522935779816515
614,fad633fbe1_00085.jpg,0.9943359375,0.0,0.0,0.0
615,fad633fbe1_00095.jpg,0.9956705729166667,0.946360153256705,0.49498997995991983,0.65
616,fb49738155_00125.jpg,0.9840169270833333,0.993854932513991,0.9072423119302815,0.9485756179304567
617,fb49738155_00100.jpg,0.980517578125,0.9860945138511679,0.8946382810959984,0.9381427316417756
618,fb49738155_00120.jpg,0.9763671875,0.996697126500055,0.8642482100238663,0.9257592800899889
619,fb49738155_00105.jpg,0.985595703125,0.9891108996722698,0.9228644703097257,0.9548400265346737
620,fb49738155_00050.jpg,0.9762858072916667,0.9945553539019963,0.8615505551734303,0.9232875269836255
